rank,file,folder,affinity_kcal_mol,Kd_M,full_path
1,CD39_nanobody_65.pdb,CD39_nanobody_150_2,-9.3,1.6e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_65.pdb
2,CD39_nanobody_90.pdb,CD39_nanobody_150_2,-9.3,1.5e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_90.pdb
3,CD39_nanobody_3.pdb,CD39_nanobody_150,-8.8,3.5e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_3.pdb
4,CD39_nanobody_37.pdb,CD39_nanobody_150_2,-8.7,4.2e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_37.pdb
5,CD39_nanobody_104.pdb,CD39_nanobody_150_2,-8.6,5.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_104.pdb
6,CD39_nanobody_23.pdb,CD39_nanobody_150,-8.6,5.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_23.pdb
7,CD39_nanobody_54.pdb,CD39_nanobody_150_2,-8.6,4.6e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_54.pdb
8,CD39_nanobody_4.pdb,CD39_nanobody_150,-8.4,7.1e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_4.pdb
9,CD39_nanobody_35.pdb,CD39_nanobody_150,-8.2,9.9e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_35.pdb
10,CD39_nanobody_66.pdb,CD39_nanobody_150,-8.2,9.3e-07,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_66.pdb
11,CD39_nanobody_143.pdb,CD39_nanobody_150_2,-8.0,1.4e-06,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_143.pdb
12,CD39_nanobody_25.pdb,CD39_nanobody_150,-8.0,1.3e-06,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_25.pdb
13,CD39_nanobody_85.pdb,CD39_nanobody_150_2,-8.0,1.3e-06,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_85.pdb
14,CD39_nanobody_123.pdb,CD39_nanobody_150,-7.9,1.6e-06,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_123.pdb
15,CD39_nanobody_127.pdb,CD39_nanobody_150,-7.9,1.5e-06,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_127.pdb
16,CD39_nanobody_90.pdb,CD39_nanobody_150,-7.9,1.7e-06,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_90.pdb
17,CD39_nanobody_101.pdb,CD39_nanobody_150,-7.8,1.8e-06,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_101.pdb
18,CD39_nanobody_116.pdb,CD39_nanobody_150,-7.8,1.8e-06,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_116.pdb
19,CD39_nanobody_132.pdb,CD39_nanobody_150,-7.8,1.9e-06,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_132.pdb
20,CD39_nanobody_148.pdb,CD39_nanobody_150_2,-7.8,2.0e-06,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_148.pdb
21,CD39_nanobody_39.pdb,CD39_nanobody_150,-7.8,2.0e-06,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_39.pdb
22,CD39_nanobody_47.pdb,CD39_nanobody_150_2,-7.8,1.9e-06,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_47.pdb
