rank,file,folder,affinity_kcal_mol,Kd_M,full_path
1,CD39_antibody_32.pdb,CD39_antibody_remaining164,-11.6,3.2e-09,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_32.pdb
2,CD39_antibody_71.pdb,CD39_antibody_remaining238,-11.2,5.7e-09,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_71.pdb
3,CD39_antibody_70.pdb,CD39_antibody_remaining238,-11.1,7.4e-09,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_70.pdb
4,CD39_antibody_37.pdb,CD39_antibody_remaining164,-10.8,1.2e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_37.pdb
5,CD39_antibody_143.pdb,CD39_antibody_remaining164,-10.6,1.8e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_143.pdb
6,CD39_antibody_115.pdb,CD39_antibody_remaining164,-10.5,2.2e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_115.pdb
7,CD39_antibody_13.pdb,CD39_antibody_remaining238,-10.4,2.4e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_13.pdb
8,CD39_antibody_19.pdb,CD39_antibody_300,-10.4,2.4e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_19.pdb
9,CD39_antibody_27.pdb,CD39_antibody_300,-10.4,2.5e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_27.pdb
10,CD39_antibody_155.pdb,CD39_antibody_remaining164,-10.3,2.9e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_155.pdb
11,CD39_antibody_101.pdb,CD39_antibody_remaining164,-10.1,3.7e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_101.pdb
12,CD39_antibody_2.pdb,CD39_antibody_remaining164,-10.1,3.7e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_2.pdb
13,CD39_antibody_4.pdb,CD39_antibody_remaining238,-10.1,4.1e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_4.pdb
14,CD39_antibody_81.pdb,CD39_antibody_remaining164,-10.0,4.5e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_81.pdb
15,CD39_antibody_129.pdb,CD39_antibody_remaining164,-9.9,5.9e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_129.pdb
16,CD39_antibody_33.pdb,CD39_antibody_300,-9.9,5.3e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_300/CD39_antibody_33.pdb
17,CD39_antibody_35.pdb,CD39_antibody_remaining238,-9.9,5.0e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining238/CD39_antibody_35.pdb
18,CD39_antibody_73.pdb,CD39_antibody_remaining164,-9.9,5.1e-08,/mnt/JL_Chong/PPIFlow-main/output/CD39_antibody_remaining164/CD39_antibody_73.pdb
